filter_variant,model_role,evaluation_checkpoint,months,mean_score_nlpd,mean_quadrant_cross_entropy,mean_quadrant_brier,mean_quadrant_kl,hard_quadrant_accuracy,growth_rmse,inflation_rmse,median_score_nlpd,burn_in_months
consumer_without_real,sensitivity,after_midmonth_defining_releases,183,8.82516901118826,1.2969883003393363,0.031894496722575195,0.2328816936030879,0.8032786885245902,1.571234242771425,0.45540179695120864,-0.5918504682832515,4
consumer_vehicle_only,sensitivity,after_midmonth_defining_releases,183,8.868742997935666,1.3008763474212088,0.03371386938062211,0.23676974068496043,0.8087431693989071,1.5677539296613405,0.4787627944888809,-0.6111295280774425,4
transition_only,major_benchmark,after_midmonth_defining_releases,183,26.922755837009575,1.5377273185249019,0.1508975850118537,0.47362071178865345,0.3442622950819672,4.2948042542452045,0.7381280264008367,1.8200796566973392,4
claims_independent,sensitivity,before_any_defining_release,183,26.837484625204645,1.533260446266942,0.14957738240241922,0.46915383953069373,0.3989071038251366,4.237773865514727,0.7367384400300081,1.8200796566973387,4
all_revised_candidate,sensitivity,before_any_defining_release,183,26.839571962087362,1.5332637772834576,0.14957209221703174,0.46915717054720946,0.3989071038251366,4.249958435492441,0.7362664069575744,1.8200796566973387,4
consumer_revised_full,sensitivity,before_any_defining_release,183,26.84486584639805,1.5356963755986972,0.15046112484517635,0.471589768862449,0.3825136612021858,4.243704227904865,0.7355574169498793,1.8200796566973387,4
consumer_without_real,sensitivity,before_any_defining_release,183,26.845105781333515,1.5357559845532587,0.15048744159594418,0.4716493778170103,0.3825136612021858,4.243705419054992,0.7356571240010567,1.8200796566973385,4
consumer_without_implicit,sensitivity,before_any_defining_release,183,26.845417713803904,1.5358333181674866,0.15051803424347784,0.47172671143123796,0.3825136612021858,4.243709165000701,0.7357783905111706,1.820079656697339,4
consumer_vehicle_only,sensitivity,before_any_defining_release,183,26.84554478527146,1.5358592956188997,0.1505298563710325,0.4717526888826513,0.3825136612021858,4.243709018660615,0.7358290724572499,1.8200796566973387,4
claims_conditional_joint,sensitivity,before_any_defining_release,183,26.849627314274823,1.5336421393124366,0.149750923559985,0.46953553257618813,0.3989071038251366,4.253182402101451,0.7356029601832704,1.8200796566973387,4
consumer_real_implicit_joint_only,sensitivity,before_any_defining_release,183,26.85398280887072,1.535683672776798,0.1504577736258002,0.47157706604054955,0.3770491803278688,4.245549501624866,0.7346678013710919,1.8200796566973387,4
consumer_implicit_only,sensitivity,before_any_defining_release,183,26.85422155238988,1.535746752476087,0.1504899777875679,0.4716401457398386,0.3770491803278688,4.245558437497959,0.7347790357744817,1.8200796566973385,4
business_revised_joint,sensitivity,before_any_defining_release,183,26.854490639010482,1.535789339945843,0.15050907872181948,0.4716827332095948,0.3770491803278688,4.245493153018214,0.7349141354650934,1.8200796566973387,4
business_legacy,sensitivity,before_any_defining_release,183,26.854492533103752,1.5357898887986536,0.15050936864892567,0.47168328206240523,0.3770491803278688,4.2454929335819305,0.7349152352289183,1.8200796566973387,4
claims_icsa_only,sensitivity,before_any_defining_release,183,26.854492533103752,1.5357898887986536,0.15050936864892567,0.47168328206240523,0.3770491803278688,4.2454929335819305,0.7349152352289183,1.8200796566973387,4
consumer_legacy,sensitivity,before_any_defining_release,183,26.854492533103752,1.5357898887986536,0.15050936864892567,0.47168328206240523,0.3770491803278688,4.2454929335819305,0.7349152352289183,1.8200796566973387,4
price_import,sensitivity,before_any_defining_release,183,26.854492533103752,1.5357898887986536,0.15050936864892567,0.47168328206240523,0.3770491803278688,4.2454929335819305,0.7349152352289183,1.8200796566973387,4
business_activity_only,sensitivity,before_any_defining_release,183,26.854494409955677,1.5357905422918947,0.15050969459464872,0.47168393555564636,0.3770491803278688,4.24549282659356,0.7349163117665942,1.8200796566973387,4
business_pipeline_only,sensitivity,before_any_defining_release,183,26.854500273747117,1.5357930120114396,0.15051081425970778,0.47168640527519107,0.3770491803278688,4.245493578288339,0.7349192726727392,1.8200796566973387,4
business_none,sensitivity,before_any_defining_release,183,26.85450056360659,1.5357931508582372,0.15051088505851343,0.47168654412198885,0.3770491803278688,4.245493574979957,0.7349193628650499,1.8200796566973387,4
consumer_real_only,sensitivity,before_any_defining_release,183,26.854517520688145,1.5358124617376867,0.1505179909655296,0.47170585500143813,0.3770491803278688,4.245507846516619,0.734905658535913,1.820079656697339,4
consumer_none,sensitivity,before_any_defining_release,183,26.85464469140866,1.5358433874787571,0.15053447926964683,0.47173678074250874,0.3770491803278688,4.245525017105306,0.734962337425791,1.8200796566973387,4
structural_reduced_no_price,sensitivity,before_any_defining_release,183,26.854863816066405,1.5358576953678948,0.15054890979869212,0.47175108863164655,0.37158469945355194,4.245491091755472,0.7349730104219715,1.8200796566973387,4
structural_reduced_input,sensitivity,before_any_defining_release,183,26.855032858510587,1.535914191589479,0.15057510379185501,0.47180758485323054,0.37158469945355194,4.245482507395973,0.7350729609293107,1.8200796566973387,4
student_t_7_combined,baseline,before_any_defining_release,183,26.85506441385424,1.535933257332195,0.15058402984277114,0.47182665059594686,0.37158469945355194,4.245499642261657,0.7350915955171579,1.8200796566973387,4
claims_ccsa_conditional_only,sensitivity,before_any_defining_release,183,26.915353078292057,1.5354619162875769,0.15053876426416987,0.4713553095513284,0.3825136612021858,4.307950614661456,0.7387311888464682,1.8200796566973387,4
