reference_month,growth_score,inflation_score,growth_score_available_at,inflation_score_available_at,score_available_at,data_status
2021-03-01,1.427623769941964,0.9092059412140976,2021-04-30,2021-04-30,2021-04-30,score_available
2021-04-01,0.0725493594279924,3.832135445817417,2021-05-28,2021-05-28,2021-05-28,score_available
2021-05-01,0.271387571396139,2.689044199686761,2021-06-25,2021-06-25,2021-06-25,score_available
2021-06-01,0.27397558055588433,2.8274965165428587,2021-07-30,2021-07-30,2021-07-30,score_available
2021-07-01,0.5259092111725943,1.5600869267128228,2021-08-27,2021-08-27,2021-08-27,score_available
2021-08-01,0.24330127921724665,0.8379325589510702,2021-10-01,2021-10-01,2021-10-01,score_available
2021-09-01,-0.16339491880508716,1.0290425507569374,2021-10-29,2021-10-29,2021-10-29,score_available
2021-10-01,0.6899407958142352,1.6948146751484958,2021-11-24,2021-11-24,2021-11-24,score_available
2021-11-01,0.25694807074892445,1.9138062922328059,2021-12-23,2021-12-23,2021-12-23,score_available
2021-12-01,-0.20529852343953436,2.2295417967073132,2022-01-28,2022-01-28,2022-01-28,score_available
2022-01-01,0.6793901555777725,2.6329605655036863,2022-02-25,2022-02-25,2022-02-25,score_available
2022-02-01,0.17698975359704208,1.8598142229209498,2022-03-31,2022-03-31,2022-03-31,score_available
2022-03-01,0.3705966804931029,1.2812161474244093,2022-04-29,2022-04-29,2022-04-29,score_available
2022-04-01,0.4221241059009075,2.0045292958278638,2022-05-27,2022-05-27,2022-05-27,score_available
2022-05-01,-0.05399695183728407,2.0541988833923797,2022-06-30,2022-06-30,2022-06-30,score_available
2022-06-01,-0.05215777371291242,2.443995598768895,2022-07-29,2022-07-29,2022-07-29,score_available
2022-07-01,0.24437000124394057,0.6118756454277855,2022-08-26,2022-08-26,2022-08-26,score_available
2022-08-01,-0.14574816490561399,1.8139837974433537,2022-09-30,2022-09-30,2022-09-30,score_available
2022-09-01,0.21024043955002503,1.3659876032935447,2022-10-28,2022-10-28,2022-10-28,score_available
2022-10-01,-0.04674202007963815,0.4078793064125754,2022-12-01,2022-12-01,2022-12-01,score_available
2022-11-01,-0.10837374694861457,0.7309788389482788,2022-12-23,2022-12-23,2022-12-23,score_available
2022-12-01,-0.2779656707813678,0.5722140069035621,2023-01-27,2023-01-27,2023-01-27,score_available
2023-01-01,0.3260573558767672,1.6573536212945263,2023-02-24,2023-02-24,2023-02-24,score_available
2023-02-01,-0.1561992645064282,1.0711579925746364,2023-03-31,2023-03-31,2023-03-31,score_available
2023-03-01,0.07794945342748713,0.793517713478652,2023-04-28,2023-04-28,2023-04-28,score_available
2023-04-01,0.23065130795289565,0.7928366730527708,2023-05-26,2023-05-26,2023-05-26,score_available
2023-05-01,-0.21731684737924734,1.035121058479249,2023-06-30,2023-06-30,2023-06-30,score_available
2023-06-01,-0.07037462756123217,-0.025030382233340753,2023-07-28,2023-07-28,2023-07-28,score_available
2023-07-01,0.3780230736043591,0.29802966250293195,2023-08-31,2023-08-31,2023-08-31,score_available
2023-08-01,-0.08586836840101117,0.14367477532504752,2023-09-29,2023-09-29,2023-09-29,score_available
2023-09-01,0.13110863159437036,0.4373514429391578,2023-10-27,2023-10-27,2023-10-27,score_available
2023-10-01,-0.24976209287938603,0.06426571924737652,2023-11-30,2023-11-30,2023-11-30,score_available
2023-11-01,0.16385586678541483,0.21730464625907192,2023-12-22,2023-12-22,2023-12-22,score_available
2023-12-01,0.08311961335411211,0.11167204461724796,2024-01-26,2024-01-26,2024-01-26,score_available
