evaluation_sample,filter_variant,comparison_reference,evaluation_checkpoint,metric,better_direction,paired_months,mean_candidate_minus_baseline,bootstrap_confidence_level,bootstrap_lower,bootstrap_upper,bootstrap_probability_candidate_better,centered_two_sided_p_value,block_length_months,replications,random_seed,holm_family_member,holm_adjusted_p_value
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,strict_pre_final_score_day,hard_quadrant_correct,higher,180,-0.027777777777777776,0.95,-0.06666666666666667,0.0,0.0096,0.124375124975005,12,5000,20260722,True,0.7462507498500299
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,strict_pre_final_score_day,hard_quadrant_correct,higher,180,0.005555555555555556,0.95,0.0,0.016666666666666666,0.6538,0.6230753849230154,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,strict_pre_final_score_day,hard_quadrant_correct,higher,180,0.016666666666666666,0.95,-0.016666666666666666,0.06111111111111111,0.7596,0.3567286542691462,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,strict_pre_final_score_day,hard_quadrant_correct,higher,180,-0.011111111111111112,0.95,-0.05,0.016666666666666666,0.2076,0.504499100179964,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,strict_pre_final_score_day,hard_quadrant_correct,higher,180,-0.011111111111111112,0.95,-0.03888888888888889,0.011111111111111112,0.142,0.4371125774845031,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,strict_pre_final_score_day,hard_quadrant_correct,higher,180,-0.005555555555555556,0.95,-0.022222222222222223,0.005555555555555556,0.1042,0.5124975004999001,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,strict_pre_final_score_day,quadrant_brier_distance_to_exact_score_map,lower,180,0.006527948560152123,0.95,0.00010992655093166557,0.015035841659695995,0.0204,0.07838432313537293,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,strict_pre_final_score_day,quadrant_brier_distance_to_exact_score_map,lower,180,0.006168800027359686,0.95,0.00023548720681935506,0.013477394975764645,0.0172,0.0593881223755249,12,5000,20260722,True,0.35632873425314937
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,strict_pre_final_score_day,quadrant_brier_distance_to_exact_score_map,lower,180,-0.00014118153868618901,0.95,-0.00039899298204786304,6.140714100037554e-05,0.8894,0.23555288942211558,12,5000,20260722,True,0.9422115576884623
excluding_2020_03_through_2020_05,priority_03_consumer,student_t_7_combined,strict_pre_final_score_day,quadrant_brier_distance_to_exact_score_map,lower,180,-0.00028740687942925466,0.95,-0.0019652527522520326,0.001009668010454486,0.6298,0.7128574285142971,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_04_housing,student_t_7_combined,strict_pre_final_score_day,quadrant_brier_distance_to_exact_score_map,lower,180,0.00017362338888450218,0.95,-0.00027246095313166585,0.0007213771588802566,0.2636,0.4949010197960408,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_05_import_prices,student_t_7_combined,strict_pre_final_score_day,quadrant_brier_distance_to_exact_score_map,lower,180,0.00041082040822832837,0.95,-0.0008635581770892141,0.0020185249809476073,0.3186,0.5856828634273146,12,5000,20260722,True,1.0
excluding_2020_03_through_2020_05,priority_06_backlog,student_t_7_combined,strict_pre_final_score_day,quadrant_brier_distance_to_exact_score_map,lower,180,-0.000264954635337788,0.95,-0.000605970290076541,3.5800379536721295e-06,0.9732,0.08758248350329934,12,5000,20260722,True,0.4379124175164967
excluding_2020_03_through_2020_05,candidate_all_six,student_t_7_combined,strict_pre_final_score_day,quadrant_cross_entropy_to_exact_score_map,lower,180,0.011640430598486424,0.95,-0.002901148530595612,0.030019297970623724,0.0718,0.16356728654269145,12,5000,20260722,False,
excluding_2020_03_through_2020_05,priority_01_surveys,student_t_7_combined,strict_pre_final_score_day,quadrant_cross_entropy_to_exact_score_map,lower,180,0.01221536174550299,0.95,-0.0006410752269560265,0.027888073001909597,0.0354,0.09658068386322735,12,5000,20260722,True,0.4829034193161368
excluding_2020_03_through_2020_05,priority_02_claims,student_t_7_combined,strict_pre_final_score_day,quadrant_cross_entropy_to_exact_score_map,lower,180,-0.00014650098225122945,0.95,-0.000452488805308951,0.00012260504951868637,0.8434,0.31073785242951407,12,5000,20260722,True,1.0
